id,type,src,dst,app,latency,message,ctime,size,buffer
65,LINK,0,36,4,1.00002,Fog.Node.4,700,20,4
66,LINK,0,133,5,1.00002,Fog.Node.5,700,20,5
67,LINK,0,173,6,1.00002,Fog.Node.6,700,20,6
68,LINK,0,142,7,1.00002,Fog.Node.7,700,20,7
69,LINK,0,36,8,1.00002,Fog.Node.8,700,20,8
70,LINK,0,36,9,1.00002,Fog.Node.9,700,20,9
61,LINK,173,73,0,1.00002,Fog.Node.0,701.00002,20,6
62,LINK,142,19,1,1.00002,Fog.Node.1,701.00002,20,7
63,LINK,36,169,2,1.00002,Fog.Node.2,701.00002,20,8
66,LINK,133,28,5,1.00002,Fog.Node.5,701.00002,20,9
64,LINK,173,73,3,1.00002,Fog.Node.3,702.0000399999999,20,3
65,LINK,36,155,4,1.00002,Fog.Node.4,702.0000399999999,20,4
68,LINK,142,19,7,1.00002,Fog.Node.7,702.0000399999999,20,5
61,LINK,73,100,0,1.00002,Fog.Node.0,702.0000399999999,20,6
62,LINK,19,15,1,1.00002,Fog.Node.1,702.0000399999999,20,7
63,LINK,169,112,2,1.00002,Fog.Node.2,702.0000399999999,20,8
66,LINK,28,129,5,1.00002,Fog.Node.5,702.0000399999999,20,9
67,LINK,173,73,6,1.00002,Fog.Node.6,703.0000599999998,20,1
69,LINK,36,169,8,1.00002,Fog.Node.8,703.0000599999998,20,2
64,LINK,73,79,3,1.00002,Fog.Node.3,703.0000599999998,20,3
65,LINK,155,115,4,1.00002,Fog.Node.4,703.0000599999998,20,4
68,LINK,19,101,7,1.00002,Fog.Node.7,703.0000599999998,20,5
70,LINK,36,155,9,1.00002,Fog.Node.9,704.0000799999998,20,0
67,LINK,73,166,6,1.00002,Fog.Node.6,704.0000799999998,20,1
70,LINK,155,74,9,1.00002,Fog.Node.9,705.0000999999997,20,0
71,LINK,0,36,0,1.00002,Fog.Node.0,800,20,0
72,LINK,0,41,1,1.00002,Fog.Node.1,800,20,1
73,LINK,0,170,2,1.00002,Fog.Node.2,800,20,2
74,LINK,0,126,3,1.00002,Fog.Node.3,800,20,3
75,LINK,0,41,4,1.00002,Fog.Node.4,800,20,4
76,LINK,0,41,5,1.00002,Fog.Node.5,800,20,5
77,LINK,0,173,6,1.00002,Fog.Node.6,800,20,6
78,LINK,0,170,7,1.00002,Fog.Node.7,800,20,7
79,LINK,0,36,8,1.00002,Fog.Node.8,800,20,8
80,LINK,0,41,9,1.00002,Fog.Node.9,800,20,9
71,LINK,36,169,0,1.00002,Fog.Node.0,801.00002,20,5
72,LINK,41,45,1,1.00002,Fog.Node.1,801.00002,20,6
73,LINK,170,61,2,1.00002,Fog.Node.2,801.00002,20,7
74,LINK,126,150,3,1.00002,Fog.Node.3,801.00002,20,8
77,LINK,173,73,6,1.00002,Fog.Node.6,801.00002,20,9
75,LINK,41,149,4,1.00002,Fog.Node.4,802.0000399999999,20,2
79,LINK,36,97,8,1.00002,Fog.Node.8,802.0000399999999,20,3
72,LINK,45,130,1,1.00002,Fog.Node.1,802.0000399999999,20,4
73,LINK,61,11,2,1.00002,Fog.Node.2,802.0000399999999,20,5
77,LINK,73,166,6,1.00002,Fog.Node.6,802.0000399999999,20,6
76,LINK,41,190,5,1.00002,Fog.Node.5,803.0000599999998,20,1
79,LINK,97,43,8,1.00002,Fog.Node.8,803.0000599999998,20,2
80,LINK,41,189,9,1.00002,Fog.Node.9,804.0000799999998,20,0
81,LINK,0,41,0,1.00002,Fog.Node.0,900,20,0
82,LINK,0,142,1,1.00002,Fog.Node.1,900,20,1
83,LINK,0,41,2,1.00002,Fog.Node.2,900,20,2
84,LINK,0,41,3,1.00002,Fog.Node.3,900,20,3
85,LINK,0,36,4,1.00002,Fog.Node.4,900,20,4
86,LINK,0,126,5,1.00002,Fog.Node.5,900,20,5
87,LINK,0,113,6,1.00002,Fog.Node.6,900,20,6
88,LINK,0,113,7,1.00002,Fog.Node.7,900,20,7
89,LINK,0,170,8,1.00002,Fog.Node.8,900,20,8
90,LINK,0,118,9,1.00002,Fog.Node.9,900,20,9
81,LINK,41,145,0,1.00002,Fog.Node.0,901.00002,20,3
82,LINK,142,60,1,1.00002,Fog.Node.1,901.00002,20,4
85,LINK,36,49,4,1.00002,Fog.Node.4,901.00002,20,5
86,LINK,126,106,5,1.00002,Fog.Node.5,901.00002,20,6
87,LINK,113,88,6,1.00002,Fog.Node.6,901.00002,20,7
89,LINK,170,124,8,1.00002,Fog.Node.8,901.00002,20,8
90,LINK,118,33,9,1.00002,Fog.Node.9,901.00002,20,9
83,LINK,41,58,2,1.00002,Fog.Node.2,902.0000399999999,20,1
88,LINK,113,88,7,1.00002,Fog.Node.7,902.0000399999999,20,2
81,LINK,145,165,0,1.00002,Fog.Node.0,902.0000399999999,20,3
82,LINK,60,92,1,1.00002,Fog.Node.1,902.0000399999999,20,4
85,LINK,49,21,4,1.00002,Fog.Node.4,902.0000399999999,20,5
87,LINK,88,167,6,1.00002,Fog.Node.6,902.0000399999999,20,6
84,LINK,41,145,3,1.00002,Fog.Node.3,903.0000599999998,20,0
83,LINK,58,154,2,1.00002,Fog.Node.2,903.0000599999998,20,1
88,LINK,88,167,7,1.00002,Fog.Node.7,903.0000599999998,20,2
84,LINK,145,165,3,1.00002,Fog.Node.3,904.0000799999998,20,0
